SubDiv,SubDiv_Desc
A10,Survey
A20,Reporting Areas
A30,Part
A35,Selected Urban and Rural Areas
A41,Selected Rural Areas
A51,Selected Urban Areas
A70,Cities
A80,Certified Deaths
B10,Nationals only
